Project;Method;ReleaseID;LOC;CyclomaticComplexity;CognitiveComplexity;'Number of Smells';ParameterCount;NestingDepth;StatementCount;LocalVariableCount;ReturnTypeComplexity;MethodHistories;StmtAdded;StmtDeleted;Churn;DistinctAuthors;Bugginess
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Column.java/toString;0.9.0;5;1;0;1;0;0;1;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Column.java/equalsColumn;0.9.0;15;6;5;1;1;1;6;0;1;2;3;2;5;2;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Column.java/copy;0.9.0;32;15;14;3;1;1;14;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DynamicSchemaFactory.java/findTable;0.9.0;18;5;4;1;1;1;10;5;1;2;13;2;15;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/DynamicSchemaFactory.java/isCompatible;0.9.0;8;3;2;1;2;1;5;0;1;3;9;1;10;3;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/LazySchemaFactory.java/generateSchemaObject;0.9.0;41;13;15;2;2;4;6;6;1;1;25;21;46;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Sequence.java/compareTo;0.9.0;10;4;3;1;1;1;6;2;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Sequence.java/toString;0.9.0;2;1;0;1;0;0;1;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaTool.java/add;0.9.0;106;42;47;6;2;7;17;28;1;9;54;34;88;5;Yes
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaTool.java/retain;0.9.0;110;36;41;7;4;7;12;22;1;7;20;45;65;4;Yes
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaTool.java/drop;0.9.0;115;35;39;6;2;6;12;25;1;3;12;45;57;3;Yes
